상품명,URL,price_original,용량_raw,용량_value,용량_unit,전성분,brand,product_id
톤업 노세범 선스크린 EX SPF50+/PA++++ 60ml,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66237,24000.0,60ml,60.0,ml,"정제수, 징크옥사이드, 사이클로헥사실록세인, 프로판다이올, 부틸옥틸살리실레이트, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 다이실록세인, 메틸메타크릴레이트크로스폴리머, 카프릴릴메티콘, 폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 티타늄디옥사이드 (CI 77891), 폴리프로필실세스퀴옥세인, 칼슘알루미늄보로실리케이트, 폴리메틸실세스퀴옥세인, 소듐아크릴레이트크로스폴리머-2, 다이스테아다이모늄헥토라이트, 마그네슘설페이트, 트라이에톡시카프릴릴실레인, 1,2-헥산다이올, 폴리글리세릴-2다이폴리하이드록시스테아레이트, 라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 다이메티콘/비닐다이메티콘크로스폴리머, 부틸렌글라이콜, 향료, 다이카프릴릴카보네이트, 카프릴릴글라이콜, 글리세릴카프릴레이트, 마이카, 황색산화철, 에틸헥실글리세린, 적색산화철, 소듐하이알루로네이트, 칡뿌리추출물, 당느릅나무뿌리추출물, 달맞이꽃추출물, 대왕송잎추출물, 흑색산화철, 토코페롤, 호호바씨오일, 녹차씨오일, 글리세린, 에필로비움 플레이스케리추출물, 시트릭애씨드, 포타슘솔베이트",이니스프리,이니스프리_톤업 노세범 선스크린 EX SPF50+/PA++++ 60ml
비타C 엔자임 잡티 토닝 크림  80ml,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=66073,45000.0,80ml,80.0,ml,"정제수, 부틸렌글라이콜, 프로판다이올, 글리세린, 나이아신아마이드(40,000 ppm), 아이소펜틸다이올, 1,2-헥산다이올, 하이드로제네이티드폴리(C6-14올레핀), 카프릴릭/카프릭트라이글리세라이드, 아이소노닐아이소노나노에이트, 스쿠알란, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알지닌, 트레할로오스, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 소듐아크릴릭애씨드/엠에이코폴리머, 덱스트린, 잔탄검, 3-O-에틸아스코빅애씨드(1,000 ppm), 세테아릴올리베이트, 만다린껍질추출물, 캐스터오일/아이피디아이코폴리머, 황련뿌리추출물, 에틸헥실글리세린, 당근추출물, 솔비탄올리베이트, 카놀라오일, 사이클로덱스트린, 소듐파이테이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 솔비탄아이소스테아레이트, 프로테아제(100 ppm)*, 카프릴릴글라이콜, 피브이엠/엠에이코폴리머, 당근씨오일, 카보머, 아스코빌테트라이소팔미테이트(10.3 ppm), 토코페릴아세테이트, 베타-카로틴, 해바라기씨오일, 아모다이메티콘, 글루코오스, 소듐하이알루로네이트, 판테놀, 아이리쉬모스 추출물, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아스코빌포스페이트(0.1001 ppm), 토코페롤, 마그네슘아스코빌포스페이트(0.1 ppm), 글루타티온, 페룰릭애씨드, 아마씨오일, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 사이아노코발아민, 글루코노락톤, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 포타슘하이알루로네이트, 리놀레닉애씨드, 리놀레익애씨드, 아스코빅애씨드(0.001 ppb), 바이오틴, 폴릭애씨드, 리보플라빈, 피리독신, 티아민에이치씨엘",이니스프리,이니스프리_비타C 엔자임 잡티 토닝 크림  80ml
화산송이 모공 듀얼 마스크 110ml,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=64131,25000.0,110ml,110.0,ml,"클레이 포뮬러: 정제수, 카올린, 부틸렌글라이콜, 실리카, 글리세린, 벤토나이트, 티타늄디옥사이드(CI 77891),1,2-핵산다이올, 화산재(10,731PPM), 마이크로크리스탈린셀룰로오스, 잔탄검, 하이드록시메틸아크릴레이트/소듐아크릴로일다이메탈타우레이트코폴리머, 셀룰로오스검, 카프릴릴글라이콜, 소듐메타포스페이트, 락틱애씨드, 락틱애씨드/글라 이클릭애씨드코폴리머, 에틸헥실글리세린, 솔비탄아이소스테아레이트, 글라이콜릭애씨드, 시트릭애씨드, 살리실릭애씨드, 폴리쿼터늄-10, 토코페롤 수분팩 포뮬러: 정제수, 프로판다이올, 글리세린, 카프릴릭/카프릭트라 이글리세라이드, 세테아릴알코올, 나이아신아마이드, 트로메타민, 글라이 콜릭애씨드, 소듐락테이트, 1,2-헥산다이올, 베헤닐알코올, 포타슘세틸포 스페이트, 하이드레이티드실리카, 벤토나이트, 소듐메타포스페이트, 에틸 헥실글리세린, 울트라마린, 마데카소사이드, 살리실릭애씨드, 말토덱스트 린, 하이드롤라이즈드치자추출물, 카올린, 트라이에톡시카프릴릴실레인, 소듐하이알루로네이트, 토코페롤, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",이니스프리,이니스프리_화산송이 모공 듀얼 마스크 110ml
올리브 비타민E 리얼 클렌징 오일 150ml,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60942,27000.0,150ml,150.0,ml,"카프릴릭/카프릭트라이글리세라이드, 펜타에리스리틸테트라에틸헥사노에이트, 솔베스-30테트라올리에이트, 세틸에틸헥사노에이트, 아이소도데케인, 올리브오일(50,000ppm), 리모넨, 레몬껍질오일, 오렌지껍질오일, 토코페롤(50ppm), 토코페릴아세테이트(10ppm)",이니스프리,이니스프리_올리브 비타민E 리얼 클렌징 오일 150ml
마이퍼퓸드바디 워터릴리 바디로션 330ml,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60223,17000.0,330ml,330.0,ml,"정제수, 글리세린, 부틸렌글라이콜, 세틸에칠헥사노에이트, 해바라기씨오일, 향료, 스테아릭애씨드, 팔미틱애씨드, 디메치콘, 쉐어버터, 글리세릴스테아레이트, 세테아릴알코올, 글리세릴스테아레이트시트레이트, 하이드로제네이티드식물성오일, 피이지-100스테아레이트, 하이드록시에칠아크릴레이트/소듐아크릴로일디메칠타우레이트코폴리머, 카보머, 벤질살리실레이트, 트로메타민, 글리세릴카프릴레이트, 리모넨, 디소듐이디티에이, 에칠헥실글리세린, 리날룰, 제라니올, 시트로넬올, 소르비탄이소스테아레이트, 폴리소르베이트60, 미리스틱애씨드, 카카오씨드버터, 망고씨드버터, 아라키딕애씨드, 라우릭애씨드, 시트랄, 토코페롤, 티비에이치큐",이니스프리,이니스프리_마이퍼퓸드바디 워터릴리 바디로션 330ml
스컬프팅 파우더 쉐이딩 6.8g,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=60074,15000.0,6.8g,6.8,g,"탤크, 마이카, 티타늄디옥사이드 (CI 77891), 징크스테아레이트, 페닐트라이메티콘, 옥틸도데실스테아로일스테아레이트, 마그네슘미리스테이트, 보론나이트라이드, 황색산화철, 흑색산화철, 트라이에톡시카프릴릴실레인, 망가니즈바이올렛, 적색산화철, 에틸헥실글리세린, 카프릴릴글라이콜, 알루미늄하이드록사이드, 다이메티콘, 메티콘, 울트라마린, 토코페롤",이니스프리,이니스프리_스컬프팅 파우더 쉐이딩 6.8g
포레스트 프레시 스킨 로션 2종 세트,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59571,47000.0,[본품] 스킨 180mL + 로션 140mL & [증정] 쉐이빙&클렌징 폼 50mL,180.0,mL,"[스킨] 정제수, 변성알코올, 프로판다이올, 글리세린, 1,2-헥산다이올, 피피지-13-데실테트라데세스-24, 옥틸도데세스-16, 베타인, 향료, 에틸헥실글리세린, 다이소듐이디티에이, 리모넨, 부틸렌글라이콜, 리날룰, 흑효모발효물*, 시트랄, 토코페롤 [로션] 정제수, 프로판다이올, 글리세린, 다이메티콘, 실리카, 1,2-헥산다이올, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리솔베이트20, 카보머, 폴리아크릴레이트-13, 트로메타민, 글리세릴카프릴레이트, 향료, 폴리아이소부텐, 에틸헥실글리세린, 다이소듐이디티에이, 리모넨, 부틸렌글라이콜, 솔비탄아이소스테아레이트, 리날룰, 흑효모발효물, 토코페롤 [로션] 정제수, 프로판다이올, 글리세린, 다이메티콘, 실리카, 1,2-헥산다이올, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리솔베이트20, 카보머, 폴리아크릴레이트-13, 트로메타민, 글리세릴카프릴레이트, 향료, 폴리아이소부텐, 에틸헥실글리세린, 다이소듐이디티에이, 리모넨, 부틸렌글라이콜, 솔비탄아이소스테아레이트, 리날룰, 흑효모발효물, 토코페롤 [쉐이빙&폼] 정제수, 글리세린, 미리스틱애씨드, 포타슘하이드록사이드, 피이지-32, 스테아릭애씨드, 팔미틱애씨드, 글리세릴스테아레이트, 피이지-100스테아레이트, 라우릭애씨드, 라우릴글루코사이드, 코카미도프로필베타인, 폴리쿼터늄-7, 향료, 소듐메틸코코일타우레이트, 소듐클로라이드, 리모넨, 멘톨, 다이소듐이디티에이, 리날룰, 소듐벤조에이트, 부틸렌글라이콜, 1,2-헥산다이올, 시트릭애씨드, 흑효모발효물, 락틱애씨드, 테트라소듐이디티에이, 에틸헥실글리세린",이니스프리,이니스프리_포레스트 프레시 스킨 로션 2종 세트
심플라벨 래스팅 펜슬 브로우 0.15g,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59216,13000.0,0.15g,0.15,g,"흑색산화철, 쌀겨왁스, 황색산화철, 적색산화철, 검양옻나무열매왁스, 팔미틱애씨드, 스테아릭애씨드, 칸데릴라왁스, 마이카, 마이크로크리스탈린왁스, 합성비즈왁스, 합성왁스, 탤크, 하이드로제네이티드코코넛오일, 다이메티콘, 정제수, 부틸렌글라이콜, 1,2-헥산다이올, 화산재, 에틸헥실글리세린, 카올린",이니스프리,이니스프리_심플라벨 래스팅 펜슬 브로우 0.15g
심플라벨 마스카라 7.5g,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=59214,21000.0,7.5g,7.5,g,"아이소도데케인, 트라이메틸실록시실리케이트, 탤크, 세레신, 다이스테아다이모늄헥토라이트, 덱스트린팔미테이트/에틸헥사노에이트, 흑색산화철, 마이크로크리스탈린왁스, 폴리프로필실세스퀴옥세인, 프로필렌카보네이트, 실리카, 하이드로제네이티드폴리아이소부텐, 알루미늄다이스테아레이트, 덱스트린팔미테이트, 폴리메틸실세스퀴옥세인, 트라이에톡시카프릴릴실레인, 셀룰로오스, 글리세릴카프릴레이트, 프로판다이올, 펄라이트, 수국잎추출물",이니스프리,이니스프리_심플라벨 마스카라 7.5g
라이트 글로우 쿠션 리필 SPF26/PA++ 14g,https://www.amoremall.com/kr/ko/product/detail?onlineProdSn=58913,18000.0,14g,14.0,g,"정제수, 헥실라우레이트, 부틸렌글라이콜, 트라이에틸헥사노인, 티타늄디옥사이드, 자일리톨, 티타늄디옥사이드 (CI 77891), 폴리글리세릴-5폴리리시놀리에이트, 페닐트라이메티콘, 펜타에리스리틸테트라에틸헥사노에이트, 메틸트라이메티콘, 다이아이소스테아릴말레이트, 트라이메틸실록시실리케이트, 다이페닐다이메티콘/비닐다이페닐다이메티콘/실세스퀴옥세인크로스폴리머, 다이메티콘, 황색산화철, 1,2-헥산다이올, 다이스테아다이모늄헥토라이트, 알루미늄하이드록사이드, 솔비탄세스퀴올리에이트, 소듐클로라이드, 다이메티콘/폴리글리세린-3크로스폴리머, 실리카, 스테아릭애씨드, 트라이에톡시카프릴릴실레인, 향료, 카프릴릴글라이콜, 적색산화철, 녹차씨오일, 에틸헥실글리세린, 흑색산화철, 트라이하이드록시스테아린, 다이소듐이디티에이, 바실러스/소이빈발효추출물, 콩폴리펩타이드, 다이프로필렌글라이콜, 합성플루오르플로고파이트, 토코페롤, 소듐시트레이트, 쌀겨오일, 틴옥사이드",이니스프리,이니스프리_라이트 글로우 쿠션 리필 SPF26/PA++ 14g
