persona_id,brand,part_role,part_id,brand_tone_cluster,score
persona_5,에스쁘아,identity,Part 3,0,0.18946685688570142
persona_1,코스알엑스,emotion,Part 2,2,0.1894382704794407
persona_3,일리윤,identity,Part 1,0,0.18943185787647965
persona_1,일리윤,identity,Part 1,0,0.18929613158106806
persona_7,에뛰드,identity,Part 1,0,0.18891022354364395
persona_8,라보에이치,cta,Part 3,0,0.18876494012773037
persona_6,에뛰드,identity,Part 1,0,0.18863931782543658
persona_7,코스알엑스,emotion,Part 2,2,0.18857433039695026
persona_1,아이오페,proof,Part 1,0,0.18855951568484308
persona_1,에스쁘아,identity,Part 2,0,0.18850111458450558
persona_5,오설록,identity,Part 2,2,0.1884715735912323
persona_2,에스쁘아,identity,Part 2,0,0.18836235683411362
persona_6,에스쁘아,identity,Part 2,0,0.18824247755110263
persona_4,한율,emotion,Part 1,9,0.18821073517203332
persona_4,코스알엑스,emotion,Part 2,2,0.18814744975417855
persona_4,에스쁘아,identity,Part 2,0,0.1880926849320531
persona_5,오설록,identity,Part 1,2,0.1880890391767025
persona_5,한율,identity,Part 3,9,0.18807195033878088
persona_6,설화수,identity,Part 1,2,0.1880691982805729
persona_7,설화수,identity,Part 1,2,0.1880388779565692
persona_2,한율,emotion,Part 1,9,0.1877416302263737
persona_8,에뛰드,identity,Part 1,0,0.18768814560025932
persona_2,일리윤,identity,Part 1,0,0.18764544967561958
persona_2,아이오페,proof,Part 1,0,0.18744823588430884
persona_5,타타 하퍼,benefit,Part 1,0,0.18744668470695613
persona_3,에뛰드,identity,Part 1,0,0.18743540421128274
persona_6,에뛰드,identity,Part 3,0,0.18740406446158886
persona_7,에스쁘아,identity,Part 2,0,0.18740263469517232
persona_5,라보에이치,cta,Part 3,0,0.18721034891903401
persona_6,코스알엑스,emotion,Part 2,2,0.18715477295219898
persona_1,에뛰드,identity,Part 3,0,0.186959994584322
persona_1,한율,emotion,Part 2,9,0.18686909068375826
persona_7,에뛰드,identity,Part 3,0,0.1867907619103789
persona_8,에뛰드,identity,Part 3,0,0.18668705224990845
persona_2,AP,identity,Part 2,9,0.18667561970651148
persona_3,에스쁘아,identity,Part 2,0,0.1866709729656577
persona_8,설화수,identity,Part 1,2,0.18652585260570048
persona_4,에뛰드,identity,Part 3,0,0.1864315688610077
persona_5,일리윤,identity,Part 1,0,0.18640458211302757
persona_3,설화수,identity,Part 1,2,0.18626011721789837
persona_4,라보에이치,cta,Part 3,0,0.18594853572547437
persona_4,설화수,identity,Part 1,2,0.18565677795559166
persona_4,아이오페,identity,Part 2,0,0.18552440628409383
persona_1,설화수,identity,Part 1,2,0.18549720719456675
persona_8,코스알엑스,emotion,Part 2,2,0.18537181911990047
persona_8,에스쁘아,identity,Part 2,0,0.1853601485490799
persona_7,해피바스,cta,Part 2,9,0.18533374138176442
persona_6,아이오페,proof,Part 1,0,0.1851341516748071
persona_7,아이오페,proof,Part 1,0,0.184907253369689
persona_6,아이오페,identity,Part 2,0,0.18486299589276312
persona_2,코스알엑스,emotion,Part 2,2,0.18477905772626402
persona_2,에뛰드,identity,Part 3,0,0.1846124053001404
persona_3,아이오페,proof,Part 1,0,0.18437843965739012
persona_5,오설록,emotion,Part 3,2,0.1842797999083996
persona_7,아이오페,identity,Part 2,0,0.18421775810420515
persona_7,이니스프리,benefit,Part 1,0,0.18414748817682264
