ingredient_id,ingredient_name
317,광곽향오일
318,구기자추출물
319,구릿대뿌리가루
320,구아검
321,구아검)
322,구아검 대두함유
323,구아이아줄렌
324,구아이아줄렌(100ppm)
325,구아이아줄렌(10ppm)
326,구아이아줄렌(20ppm)
327,구아하이드록시프로필트라이모늄클로라이드
328,구연산
329,구연산(무수)
330,구연산)
331,구연산나트륨
332,구연산삼나트륨
333,구연산삼나트륨)
334,구연산칼륨
335,구주소나무잎오일
336,국화추출물
337,국화추출물(900 ppm)
338,권백추출물
339,귀리식이섬유
340,귀리커넬추출물
341,귀리펩타이드
342,규조토
343,귤껍질추출물
344,글라이 콜릭애씨드
345,글라이드올리에이트
346,글라이신
347,글라이코리피드
348,글라이코젠
349,글라이코프로테인
350,글라이콜다이스테아 레이트
351,글라이콜다이스테아레이트
352,글라이콜릭애씨드
353,글루 코노락톤
354,글루코노 락톤
355,글루코노-δ-락톤
356,글루코노델타락톤
357,글루코노락톤
358,글루코노락톤. 밤껍질추출물(1
359,글루코만난
360,글루코사민에이치씨엘
361,글루코실헤스페리딘
362,글루코오스
363,글루콘산동
364,글루콘산아연
365,글루타믹애씨드
366,글루타믹애씨드(100ppm)
367,글루타믹애씨드*
368,글루타티온
369,글루타티온 / [에멀젼] 정제수
370,글루타티온(10ppm)
371,글루타티온(5000ppb)
372,글리 세린
373,글리 세릴카프릴레이트
374,글리세 릴스테아레이트
375,글리세레스-25피씨에이아이소스테아레이트
376,글리세레스-26
377,글리세린
378,글리세린*
379,글리세린디아세틸주석산지방산에스테르
380,글리세린지방산에스테르
381,글리세린초산지방산에스테르
382,글리세릴 스테아레이트
383,글리세릴 카프릴레이트
384,글리세릴글루코사이드
385,글리세릴베헤네이트
386,글리세릴베헤네이트/에이코사디오에이트
387,글리세릴스테아 레이트
388,글리세릴스테아 레이트시트레이트
389,글리세릴스테아레이트
390,글리세릴스테아레이트시 트레이트
391,글리세릴스테아레이트시트레이트
392,글리세릴스테아레이트에스이
393,글리세릴아크릴레이트/아크릴릭애씨드코폴리머
394,글리세릴올리에이트
395,글리세릴올리에이트*
396,글리세릴운데실다이메티콘
397,글리세릴카프 릴레이트
398,글리세릴카프릴 레이트
399,글리세릴카프릴레이트
400,글리세릴폴리메타크릴레이트
401,금
402,기타가공품}
403,긴병꽃풀추출물
404,꽃생강뿌리추출물
405,꽃송이버섯추출물
406,꽃송이버섯추출물 [로션]정제수
407,꽃창포추출물
408,꿀
409,꿀추출물(0.03ppm)
410,꿀추출물(100ppb)
411,꿀풀잎추출물
412,나무
413,나이아신
414,나이아신 아마이드
415,나이아신아 마이드
416,나이아신아마 이드
417,나이아신아마이드
418,나이아신아마이드(0.11%)
419,나이아신아마이드(20
420,나이아신아마이드(40
421,나이아신아마이드(50
422,나일론-12
423,나일론6/12
424,나트륨 110mg(6%)
425,나트륨 120mg(6%)
426,나트륨 165mg(8%)
427,나트륨 170mg(9%)
428,나트륨 320mg(16%)
429,나트륨 75mg(4%)
430,나팔수선화추출물
431,난각막콜라겐
432,난소화성말토덱스트린
433,난소화성말토덱스트린(옥수수: 외국산(러시아
434,난소화성말토덱스트린(외국산(러시아
435,난추출물 (5 ppm)
436,난추출물(10 ppm)
437,남가새열매추출물
438,낫토검
439,내용물 중량 스틱 1포 20g 카페인 26.3mg 열량 87.65 kcal 탄수화물 14.97g 당류 6.59g
440,내용물 중량 스틱 1포 20g 카페인 33.3mg 열량 8.76 kcal 탄수화물 16.28g 당류 14.31g
441,내용물 중량 스틱 1포 20g 카페인 54.7mg 열량 84.76 kcal 탄수화물 16.47g 당류 13.08g
442,네 오펜틸글라이콜다이헵타노에이트
443,네오펜틸글라이콜다이에틸헥사노에이트
444,네오펜틸글라이콜다이카프레이트
445,네오펜틸글라이콜다이헵타노에이트
446,노나펩타이드-1
447,녹나무잎추출물
448,녹두가루
449,녹두씨추출물
450,녹색201호
451,녹차가루
452,녹차꽃추출물
453,녹차다당분말
454,녹차다당분말 [난류(가금류)
455,녹차다당분말 우유함유
456,녹차다당체분말
457,녹차뿌리추출물
458,녹차수
459,녹차씨오일
460,녹차씨오일 (10ppm)
461,녹차씨오일(1
462,녹차씨오일(2
463,녹차씨오일(2.5 ppm)
464,녹차씨오일(5 ppm)
465,녹차씨추출물
466,녹차씨추출물 (1.9ppm)
467,녹차씨추출물(19 ppm)
468,녹차유산균 발효농축분말(말토덱스트린
469,녹차유산균발효농축분말(말토덱스트린
470,녹차추출물
471,녹차추출물 (4ppm)
472,녹차추출물 *맨 리차징 로션 : 정제수
